Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,21.520000,24.087999,21.476000,23.072001,23.072001,117975000
2020-02-01,23.170000,24.364000,19.618000,20.412001,20.412001,156654500
2020-03-01,20.724001,22.096001,14.040000,20.233999,20.233999,341949500
2020-04-01,19.388000,22.996000,19.202000,21.548000,21.548000,215025000
2020-05-01,21.128000,29.938000,20.752001,27.840000,27.840000,195625000
2020-06-01,27.962000,29.326000,25.375999,27.454000,27.454000,170715500
2020-07-01,27.454000,30.389999,24.848000,27.660000,27.660000,171925000
2020-08-01,28.000000,28.278000,24.612000,26.402000,26.402000,148152500
2020-09-01,26.548000,26.879999,22.521999,23.562000,23.562000,133225000
2020-10-01,23.728001,26.988001,21.350000,22.073999,22.073999,148580000
2020-11-01,22.195999,24.822001,21.854000,24.646000,24.646000,114657000
2020-12-01,24.862000,30.666000,24.073999,29.705999,29.705999,113164500
2021-01-01,29.914000,31.062000,27.462000,28.950001,28.950001,97133500
2021-02-01,29.275999,34.481998,29.106001,33.770000,33.770000,127134500
2021-03-01,34.301998,38.768002,32.226002,36.883999,36.883999,173611500
2021-04-01,37.354000,41.877998,37.094002,40.846001,40.846001,109092000
2021-05-01,41.062000,44.200001,39.192001,43.708000,43.708000,103612000
2021-06-01,44.023998,49.466000,42.334000,47.638000,47.638000,90200000
2021-07-01,47.571999,55.400002,47.271999,54.448002,54.448002,96000000
2021-08-01,54.854000,64.379997,54.028000,63.028000,63.028000,106993500
2021-09-01,63.507999,64.400002,56.827999,58.408001,58.408001,106036000
2021-10-01,58.234001,69.050003,56.953999,67.267998,67.267998,82893500
2021-11-01,67.267998,71.070000,63.653999,66.421997,66.421997,99441000
2021-12-01,67.519997,74.353996,57.848000,71.879997,71.879997,182841000
2022-01-01,72.424004,72.424004,52.568001,59.448002,59.448002,176511000
2022-02-01,59.568001,69.089996,55.188000,68.903999,68.903999,133420000
2022-03-01,69.209999,70.596001,53.054001,68.348000,68.348000,168491000
2022-04-01,68.202003,71.515999,57.528000,57.801998,57.801998,93489000
2022-05-01,57.712002,61.919998,48.726002,58.827999,58.827999,196086000
2022-06-01,59.251999,62.405998,52.335999,56.580002,56.580002,112099300
2022-07-01,56.400002,63.560001,55.209999,59.650002,59.650002,87870700
2022-08-01,59.029999,63.160000,48.310001,48.689999,48.689999,139620600
2022-09-01,48.040001,55.939999,47.369999,49.130001,49.130001,110369300
2022-10-01,49.580002,57.340000,45.740002,57.160000,57.160000,106849500
2022-11-01,57.860001,58.290001,42.610001,53.160000,53.160000,134079800
2022-12-01,53.630001,56.709999,47.040001,48.889999,48.889999,93352100
2023-01-01,49.529999,54.570000,45.880001,52.340000,52.340000,105936200
2023-02-01,52.150002,63.020000,51.419998,59.439999,59.439999,118195200
2023-03-01,59.540001,66.570000,57.630001,66.459999,66.459999,98941100
2023-04-01,65.820000,69.070000,61.730000,63.049999,63.049999,72386000
2023-05-01,62.299999,71.290001,60.330002,68.330002,68.330002,118579500
2023-06-01,67.639999,76.269997,66.839996,75.589996,75.589996,122890000
2023-07-01,75.300003,81.239998,72.449997,77.720001,77.720001,95089100
2023-08-01,77.639999,78.580002,56.099998,60.209999,60.209999,185208600
2023-09-01,60.500000,65.680000,57.189999,58.680000,58.680000,93440000
2023-10-01,58.790001,60.599998,55.459999,57.169998,57.169998,129840400
2023-11-01,57.430000,58.189999,44.119999,52.560001,52.560001,203650600
2023-12-01,52.049999,59.869999,50.650002,58.529999,58.529999,121011400
